"Timestamp","Service Interest","Institution Type","Email","Conversation Summary","Message Count","Qualified","Conversation ID"
"2026-07-07T07:35:13.214Z","","","","General inquiry about Edify services","4","No","chat_1783409713214_hh7t9hion"
"2026-07-07T10:16:17.852Z","","","","General inquiry about Edify services","4","No","chat_1783419377852_dzkpx1g95"
"2026-07-10T07:08:59.889Z","technology","university","","Interested in: technology. Institution: university","5","Yes","chat_1783667339889_v0aei7w20"
"2026-07-10T07:08:59.889Z","","","","General inquiry about Edify services","3","No","chat_1783667339889_v0aei7w20"
"2026-07-10T07:08:59.889Z","technology","university","","Interested in: technology. Institution: university","7","Yes","chat_1783667339889_v0aei7w20"
"2026-07-10T07:08:59.889Z","technology","university","","Interested in: technology. Institution: university","9","Yes","chat_1783667339889_v0aei7w20"
"2026-07-13 09:22:47","consultation","higher-ed","test@example.com","Summary","5","Yes","test-id"
"2026-07-13 09:57:34","strategy","K-12","verify@example.com","Test conversation summary","3","Yes","verify-id"
"2026-07-13 09:57:36","strategy","K-12","verify@example.com","Test conversation summary","3","Yes","verify-id"
"2026-07-13 12:17:16 GST","Strategy","K-12","test@example.com","summary","3","Yes","123"
"2026-07-13 12:27:09 GST","","","","General inquiry about Edify services","4","No","chat_1783931229196_84mixmaal"
"2026-07-13 12:27:09 GST","","","","General inquiry about Edify services","6","No","chat_1783931229196_84mixmaal"
"2026-07-13 12:27:09 GST","","","","General inquiry about Edify services","8","No","chat_1783931229196_84mixmaal"
"2026-07-13 12:27:09 GST","","","","General inquiry about Edify services","10","No","chat_1783931229196_84mixmaal"
"2026-07-13 12:27:09 GST","","","","General inquiry about Edify services","12","No","chat_1783931229196_84mixmaal"
"2026-07-13 12:27:09 GST","","","","General inquiry about Edify services","14","No","chat_1783931229196_84mixmaal"
"2026-07-13 12:27:09 GST","","college","","Institution: college","16","No","chat_1783931229196_84mixmaal"
"2026-07-14 11:01:35 GST","hr","","","Interested in: hr","7","Yes","chat_1784012495224_8ao38zefn"
"2026-07-14 11:01:35 GST","hr","","","Interested in: hr","5","Yes","chat_1784012495224_8ao38zefn"
"2026-07-14 15:59:35 GST","all","","","Interested in: all","5","Yes","chat_1784030375413_st9b8tsny"
"2026-07-14 15:59:35 GST","all","","","Interested in: all","7","Yes","chat_1784030375413_st9b8tsny"
"2026-07-14 15:59:35 GST","all","","","Interested in: all","9","Yes","chat_1784030375413_st9b8tsny"
"2026-07-14 15:59:35 GST","all","university","","Interested in: all, technology. Institution: university","11","Yes","chat_1784030375413_st9b8tsny"
"2026-07-14 15:59:35 GST","all","university","","Interested in: all, technology. Institution: university","13","Yes","chat_1784030375413_st9b8tsny"
"2026-07-14 15:59:35 GST","all","college","","Interested in: all, technology. Institution: college","15","Yes","chat_1784030375413_st9b8tsny"
"2026-07-14 15:59:35 GST","all","college","","Interested in: all, technology. Institution: college","17","Yes","chat_1784030375413_st9b8tsny"
"2026-07-14 15:59:35 GST","all","college","","Interested in: all, technology. Institution: college","19","Yes","chat_1784030375413_st9b8tsny"
"2026-07-14 15:59:35 GST","all","college","","Interested in: all, technology. Institution: college","21","Yes","chat_1784030375413_st9b8tsny"
"2026-07-15 07:39:30 GST","","","","General inquiry about Edify services","3","No","chat_1784086770204_rr33f0j90"
"2026-07-17 08:07:17 GST","","","test@example.com","","3","Yes",""
"2026-07-17 13:47:49 GST","operations","","","Interested in: operations","5","Yes","chat_1784281669041_cb17vxcso"
"2026-08-17 13:34:36 IST","","","test@example.com","","0","No",""
"2026-08-18 11:36:29 IST","","","","","0","No",""
